Mod:Item:MetaData, Localized Name
tconstruct:hammer_head:0, Pladium Hammer Head
tconstruct:hammer_head:0, Ionite Hammer Head
tconstruct:hammer_head:0, Aethium Hammer Head
tconstruct:hammer_head:0, Lonsdaleite Hammer Head
tconstruct:hammer_head:0, Mica Hammer Head
tconstruct:hammer_head:0, Apatite Hammer Head
tconstruct:hammer_head:0, Essence-Infused Hammer Head
tconstruct:hammer_head:0, Meaty Hammer Head
tconstruct:hammer_head:0, Slime Hammer Head
tconstruct:hammer_head:0, Pink Metal Hammer Head
tconstruct:hammer_head:0, Rubber Hammer Head
tconstruct:hammer_head:0, Advanced Alloy Hammer Head
tconstruct:hammer_head:0, Energium Hammer Head
tconstruct:hammer_head:0, Carbon Fiber Hammer Head
tconstruct:hammer_head:0, Iridium Hammer Head
tconstruct:hammer_head:0, UU-Metal Hammer Head
tconstruct:hammer_head:0, Osmium Hammer Head
tconstruct:hammer_head:0, Refined Obsidian Hammer Head
tconstruct:hammer_head:0, Refined Glowstone Hammer Head
tconstruct:hammer_head:0, HDPE Hammer Head
tconstruct:hammer_head:0, Dark Matter Hammer Head
tconstruct:hammer_head:0, Red Matter Hammer Head
tconstruct:hammer_head:0, Fluxed Electrum Hammer Head
tconstruct:hammer_head:0, Flux Crystal Hammer Head
tconstruct:hammer_head:0, Gelid Enderium Hammer Head
tconstruct:hammer_head:0, Gelid Gem Hammer Head
tconstruct:hammer_head:0, Thaumium Hammer Head
tconstruct:hammer_head:0, Void Metal Hammer Head
tconstruct:hammer_head:0, Primal Metal Hammer Head
tconstruct:hammer_head:0, Amber Hammer Head
tconstruct:hammer_head:0, Tin Hammer Head
tconstruct:hammer_head:0, Aluminium Hammer Head
tconstruct:hammer_head:0, Nickel Hammer Head
tconstruct:hammer_head:0, Platinum Hammer Head
tconstruct:hammer_head:0, Invar Hammer Head
tconstruct:hammer_head:0, Constantan Hammer Head
tconstruct:hammer_head:0, Signalum Hammer Head
tconstruct:hammer_head:0, Lumium Hammer Head
tconstruct:hammer_head:0, Enderium Hammer Head
tconstruct:hammer_head:0, Alumite Hammer Head
tconstruct:hammer_head:0, Ascended Sapphire Hammer Head
tconstruct:hammer_head:0, Jade Hammer Head
tconstruct:hammer_head:0, Sapphire Hammer Head
tconstruct:hammer_head:0, Ruby Hammer Head
tconstruct:hammer_head:0, Peridot Hammer Head
tconstruct:hammer_head:0, Malachite Hammer Head
tconstruct:hammer_head:0, Topaz Hammer Head
tconstruct:hammer_head:0, Tanzanite Hammer Head
tconstruct:hammer_head:0, Amethyst Hammer Head
tconstruct:hammer_head:0, Osgloglas Hammer Head
tconstruct:hammer_head:0, Osmiridium Hammer Head
tconstruct:hammer_head:0, Psimetal Hammer Head
tconstruct:hammer_head:0, Psigem Hammer Head
tconstruct:hammer_head:0, Cheese Hammer Head
tconstruct:hammer_head:0, Plague Metal Hammer Head
tconstruct:hammer_head:0, Tiberium Hammer Head
tconstruct:hammer_head:0, Aurorium Hammer Head
tconstruct:hammer_head:0, Prometheum Hammer Head
tconstruct:hammer_head:0, Duranite Hammer Head
tconstruct:hammer_head:0, Valyrium Hammer Head
tconstruct:hammer_head:0, Terrax Hammer Head
tconstruct:hammer_head:0, Eezo Hammer Head
tconstruct:hammer_head:0, Basalt Hammer Head
tconstruct:hammer_head:0, Triberium Hammer Head
tconstruct:hammer_head:0, Fractum Hammer Head
tconstruct:hammer_head:0, Violium Hammer Head
tconstruct:hammer_head:0, Proxii Hammer Head
tconstruct:hammer_head:0, Tritonite Hammer Head
tconstruct:hammer_head:0, Ignitz Hammer Head
tconstruct:hammer_head:0, Imperomite Hammer Head
tconstruct:hammer_head:0, Solarium Hammer Head
tconstruct:hammer_head:0, Nihilite Hammer Head
tconstruct:hammer_head:0, Adamant Hammer Head
tconstruct:hammer_head:0, Dyonite Hammer Head
tconstruct:hammer_head:0, Nucleum Hammer Head
tconstruct:hammer_head:0, Lumix Hammer Head
tconstruct:hammer_head:0, Seismum Hammer Head
tconstruct:hammer_head:0, Astrium Hammer Head
tconstruct:hammer_head:0, Niob Hammer Head
tconstruct:hammer_head:0, Yrdeen Hammer Head
tconstruct:hammer_head:0, Meteorite Hammer Head
tconstruct:hammer_head:0, Obsidiorite Hammer Head
tconstruct:hammer_head:0, Crystalized Hammer Head
tconstruct:hammer_head:0, Mirion Hammer Head
tconstruct:hammer_head:0, Emerald Hammer Head
tconstruct:excavator_head:0, Fusewood Excavator Head
tconstruct:excavator_head:0, Darkwood Excavator Head
tconstruct:excavator_head:0, Bloodwood Excavator Head
tconstruct:excavator_head:0, Ghostwood Excavator Head
tconstruct:excavator_head:0, Electrical Excavator Head
tconstruct:excavator_head:0, Energetic Excavator Head
tconstruct:excavator_head:0, Vibrant Excavator Head
tconstruct:excavator_head:0, Red Excavator Head
tconstruct:excavator_head:0, Conductive Excavator Head
tconstruct:excavator_head:0, Pulsating Excavator Head
tconstruct:excavator_head:0, Dark Excavator Head
tconstruct:excavator_head:0, Souled Excavator Head
tconstruct:excavator_head:0, Excavator Head of the End
tconstruct:excavator_head:0, Fake-Iron Excavator Head
tconstruct:excavator_head:0, Palladium Excavator Head
tconstruct:excavator_head:0, Titanium Excavator Head
tconstruct:excavator_head:0, Vibranium Excavator Head
tconstruct:excavator_head:0, Dwarf Star Alloy Excavator Head
tconstruct:excavator_head:0, Gold-Titanium-Alloy Excavator Head
tconstruct:excavator_head:0, Intertium Excavator Head
tconstruct:excavator_head:0, Adamantium Excavator Head
tconstruct:excavator_head:0, Uru Excavator Head
tconstruct:excavator_head:0, Wooden Excavator Head
tconstruct:excavator_head:0, Stone Excavator Head
tconstruct:excavator_head:0, Flint Excavator Head
tconstruct:excavator_head:0, Cactus Excavator Head
tconstruct:excavator_head:0, Bone Excavator Head
tconstruct:excavator_head:0, Obsidian Excavator Head
tconstruct:excavator_head:0, Prismarine Excavator Head
tconstruct:excavator_head:0, End Excavator Head
tconstruct:excavator_head:0, Paper Excavator Head
tconstruct:excavator_head:0, Sponge Excavator Head
tconstruct:excavator_head:0, Firewood Excavator Head
tconstruct:excavator_head:0, Iron Excavator Head
tconstruct:excavator_head:0, Pig Iron Excavator Head
tconstruct:excavator_head:0, Knightslime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Magma Slime Excavator Head
tconstruct:excavator_head:0, Netherrack Excavator Head
tconstruct:excavator_head:0, Cobalt Excavator Head
tconstruct:excavator_head:0, Ardite Excavator Head
tconstruct:excavator_head:0, Manyullyn Excavator Head
tconstruct:excavator_head:0, Copper Excavator Head
tconstruct:excavator_head:0, Bronze Excavator Head
tconstruct:excavator_head:0, Lead Excavator Head
tconstruct:excavator_head:0, Silver Excavator Head
tconstruct:excavator_head:0, Electrum Excavator Head
tconstruct:excavator_head:0, Steel Excavator Head
tconstruct:excavator_head:0, Abyssalnite Excavator Head
tconstruct:excavator_head:0, Refined Coralium Excavator Head
tconstruct:excavator_head:0, Dreadium Excavator Head
tconstruct:excavator_head:0, Magical Wooden Excavator Head
tconstruct:excavator_head:0, Evil Infused Excavator Head
tconstruct:excavator_head:0, Enchanted Excavator Head
tconstruct:excavator_head:0, Demonic Excavator Head
tconstruct:excavator_head:0, Baronyte Excavator Head
tconstruct:excavator_head:0, Blazium Excavator Head
tconstruct:excavator_head:0, Elecanium Excavator Head
tconstruct:excavator_head:0, Emberstone Excavator Head
tconstruct:excavator_head:0, Ghastly Excavator Head
tconstruct:excavator_head:0, Ghoulish Excavator Head
tconstruct:excavator_head:0, Limonite Excavator Head
tconstruct:excavator_head:0, Lunar Excavator Head
tconstruct:excavator_head:0, Lyon Excavator Head
tconstruct:excavator_head:0, Mystite Excavator Head
tconstruct:excavator_head:0, Rosite Excavator Head
tconstruct:excavator_head:0, Shyrestone Excavator Head
tconstruct:excavator_head:0, Skeletal Excavator Head
tconstruct:excavator_head:0, Varsium Excavator Head
tconstruct:excavator_head:0, Charger Excavator Head
tconstruct:excavator_head:0, Treated Wood Excavator Head
tconstruct:excavator_head:0, Shadowium Excavator Head
tconstruct:excavator_head:0, Orichalcos Excavator Head
tconstruct:excavator_head:0, Dilithium Excavator Head
tconstruct:excavator_head:0, Tritanium Excavator Head
tconstruct:excavator_head:0, Blood Infused Wooden Excavator Head
tconstruct:excavator_head:0, Blood Infused Iron Excavator Head
tconstruct:excavator_head:0, Blood Infused Glitch Excavator Head
tconstruct:excavator_head:0, Umbrium Excavator Head
tconstruct:excavator_head:0, Boron Excavator Head
tconstruct:excavator_head:0, Tough Alloy Excavator Head
tconstruct:excavator_head:0, Hard Carbon Excavator Head
tconstruct:excavator_head:0, Boron Nitride Excavator Head
tconstruct:excavator_head:0, Thorium Excavator Head
tconstruct:excavator_head:0, Uranium Excavator Head
tconstruct:excavator_head:0, Magnesium Excavator Head
tconstruct:excavator_head:0, Chocolate Excavator Head
tconstruct:excavator_head:0, Molten Meat Excavator Head
tconstruct:excavator_head:0, Vespa Carapace Excavator Head
tconstruct:excavator_head:0, Scythe Claw Excavator Head
tconstruct:excavator_head:0, Ectoplasm Excavator Head
tconstruct:excavator_head:0, Prosperity Shard Excavator Head
tconstruct:excavator_head:0, Soulium Excavator Head
tconstruct:excavator_head:0, Base Essence Excavator Head
tconstruct:excavator_head:0, Inferium Excavator Head
tconstruct:excavator_head:0, Prudentium Excavator Head
tconstruct:excavator_head:0, Intermedium Excavator Head
tconstruct:excavator_head:0, Superium Excavator Head
tconstruct:excavator_head:0, Supremium Excavator Head
tconstruct:excavator_head:0, Black Quartz Excavator Head
tconstruct:excavator_head:0, Restonia Crystal Excavator Head
tconstruct:excavator_head:0, Palis Crystal Excavator Head
tconstruct:excavator_head:0, Diamatine Crystal Excavator Head
tconstruct:excavator_head:0, Void Crystal Excavator Head
tconstruct:excavator_head:0, Emeradic Crystal Excavator Head
tconstruct:excavator_head:0, Enori Crystal Excavator Head
tconstruct:excavator_head:0, Sunnarium Excavator Head
tconstruct:excavator_head:0, Sky Stone Excavator Head
tconstruct:excavator_head:0, Certus Quartz Excavator Head
tconstruct:excavator_head:0, Fluix Excavator Head
tconstruct:excavator_head:0, Fluix Steel Excavator Head
tconstruct:excavator_head:0, Aquamarine Excavator Head
tconstruct:excavator_head:0, Starmetal Excavator Head
tconstruct:excavator_head:0, Crystal Matrix Excavator Head
tconstruct:excavator_head:0, Neutronium Excavator Head
tconstruct:excavator_head:0, Infinity Excavator Head
tconstruct:excavator_head:0, Bound Excavator Head
tconstruct:excavator_head:0, Sentient Excavator Head
tconstruct:excavator_head:0, Livingrock Excavator Head
tconstruct:excavator_head:0, Livingwood Excavator Head
tconstruct:excavator_head:0, Dreamwood Excavator Head
tconstruct:excavator_head:0, Manasteel Excavator Head
tconstruct:excavator_head:0, Terrasteel Excavator Head
tconstruct:excavator_head:0, Elementium Excavator Head
tconstruct:excavator_head:0, Draconium Excavator Head
tconstruct:excavator_head:0, Wyvern Excavator Head
tconstruct:excavator_head:0, Draconic Excavator Head
tconstruct:excavator_head:0, Chaotic Excavator Head
tconstruct:excavator_head:0, Litherite Excavator Head
tconstruct:excavator_head:0, Erodium Excavator Head
tconstruct:excavator_head:0, Kyronite Excavator Head
tconstruct:excavator_head:0, Pladium Excavator Head
tconstruct:excavator_head:0, Ionite Excavator Head
tconstruct:excavator_head:0, Aethium Excavator Head
tconstruct:excavator_head:0, Lonsdaleite Excavator Head
tconstruct:excavator_head:0, Mica Excavator Head
tconstruct:excavator_head:0, Apatite Excavator Head
tconstruct:excavator_head:0, Essence-Infused Excavator Head
tconstruct:excavator_head:0, Meaty Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Pink Metal Excavator Head
tconstruct:excavator_head:0, Rubber Excavator Head
tconstruct:excavator_head:0, Advanced Alloy Excavator Head
tconstruct:excavator_head:0, Energium Excavator Head
tconstruct:excavator_head:0, Carbon Fiber Excavator Head
tconstruct:excavator_head:0, Iridium Excavator Head
tconstruct:excavator_head:0, UU-Metal Excavator Head
tconstruct:excavator_head:0, Osmium Excavator Head
tconstruct:excavator_head:0, Refined Obsidian Excavator Head
tconstruct:excavator_head:0, Refined Glowstone Excavator Head
tconstruct:excavator_head:0, HDPE Excavator Head
tconstruct:excavator_head:0, Dark Matter Excavator Head
tconstruct:excavator_head:0, Red Matter Excavator Head
tconstruct:excavator_head:0, Fluxed Electrum Excavator Head
tconstruct:excavator_head:0, Flux Crystal Excavator Head
tconstruct:excavator_head:0, Gelid Enderium Excavator Head
tconstruct:excavator_head:0, Gelid Gem Excavator Head
tconstruct:excavator_head:0, Thaumium Excavator Head
tconstruct:excavator_head:0, Void Metal Excavator Head
tconstruct:excavator_head:0, Primal Metal Excavator Head
tconstruct:excavator_head:0, Amber Excavator Head
tconstruct:excavator_head:0, Tin Excavator Head
tconstruct:excavator_head:0, Aluminium Excavator Head
tconstruct:excavator_head:0, Nickel Excavator Head
tconstruct:excavator_head:0, Platinum Excavator Head
tconstruct:excavator_head:0, Invar Excavator Head
tconstruct:excavator_head:0, Constantan Excavator Head
tconstruct:excavator_head:0, Signalum Excavator Head
tconstruct:excavator_head:0, Lumium Excavator Head
tconstruct:excavator_head:0, Enderium Excavator Head
tconstruct:excavator_head:0, Alumite Excavator Head
tconstruct:excavator_head:0, Ascended Sapphire Excavator Head
tconstruct:excavator_head:0, Jade Excavator Head
tconstruct:excavator_head:0, Sapphire Excavator Head
tconstruct:excavator_head:0, Ruby Excavator Head
tconstruct:excavator_head:0, Peridot Excavator Head
tconstruct:excavator_head:0, Malachite Excavator Head
tconstruct:excavator_head:0, Topaz Excavator Head
tconstruct:excavator_head:0, Tanzanite Excavator Head
tconstruct:excavator_head:0, Amethyst Excavator Head
tconstruct:excavator_head:0, Osgloglas Excavator Head
tconstruct:excavator_head:0, Osmiridium Excavator Head
tconstruct:excavator_head:0, Psimetal Excavator Head
tconstruct:excavator_head:0, Psigem Excavator Head
tconstruct:excavator_head:0, Cheese Excavator Head
tconstruct:excavator_head:0, Plague Metal Excavator Head
tconstruct:excavator_head:0, Tiberium Excavator Head
tconstruct:excavator_head:0, Aurorium Excavator Head
tconstruct:excavator_head:0, Prometheum Excavator Head
tconstruct:excavator_head:0, Duranite Excavator Head
tconstruct:excavator_head:0, Valyrium Excavator Head
tconstruct:excavator_head:0, Terrax Excavator Head
tconstruct:excavator_head:0, Eezo Excavator Head
tconstruct:excavator_head:0, Basalt Excavator Head
tconstruct:excavator_head:0, Triberium Excavator Head
tconstruct:excavator_head:0, Fractum Excavator Head
tconstruct:excavator_head:0, Violium Excavator Head
tconstruct:excavator_head:0, Proxii Excavator Head
tconstruct:excavator_head:0, Tritonite Excavator Head
tconstruct:excavator_head:0, Ignitz Excavator Head
tconstruct:excavator_head:0, Imperomite Excavator Head
tconstruct:excavator_head:0, Solarium Excavator Head
tconstruct:excavator_head:0, Nihilite Excavator Head
tconstruct:excavator_head:0, Adamant Excavator Head
tconstruct:excavator_head:0, Dyonite Excavator Head
tconstruct:excavator_head:0, Nucleum Excavator Head
tconstruct:excavator_head:0, Lumix Excavator Head
tconstruct:excavator_head:0, Seismum Excavator Head
tconstruct:excavator_head:0, Astrium Excavator Head
tconstruct:excavator_head:0, Niob Excavator Head
tconstruct:excavator_head:0, Yrdeen Excavator Head
tconstruct:excavator_head:0, Meteorite Excavator Head
tconstruct:excavator_head:0, Obsidiorite Excavator Head
tconstruct:excavator_head:0, Crystalized Excavator Head
tconstruct:excavator_head:0, Mirion Excavator Head
tconstruct:excavator_head:0, Emerald Excavator Head
tconstruct:kama_head:0, Fusewood Kama Head
tconstruct:kama_head:0, Darkwood Kama Head
tconstruct:kama_head:0, Bloodwood Kama Head
tconstruct:kama_head:0, Ghostwood Kama Head
tconstruct:kama_head:0, Electrical Kama Head
tconstruct:kama_head:0, Energetic Kama Head
tconstruct:kama_head:0, Vibrant Kama Head
tconstruct:kama_head:0, Red Kama Head
tconstruct:kama_head:0, Conductive Kama Head
tconstruct:kama_head:0, Pulsating Kama Head
tconstruct:kama_head:0, Dark Kama Head
tconstruct:kama_head:0, Souled Kama Head
tconstruct:kama_head:0, Kama Head of the End
tconstruct:kama_head:0, Fake-Iron Kama Head
tconstruct:kama_head:0, Palladium Kama Head
tconstruct:kama_head:0, Titanium Kama Head
tconstruct:kama_head:0, Vibranium Kama Head
tconstruct:kama_head:0, Dwarf Star Alloy Kama Head
tconstruct:kama_head:0, Gold-Titanium-Alloy Kama Head
tconstruct:kama_head:0, Intertium Kama Head
tconstruct:kama_head:0, Adamantium Kama Head
tconstruct:kama_head:0, Uru Kama Head
tconstruct:kama_head:0, Wooden Kama Head
tconstruct:kama_head:0, Stone Kama Head
tconstruct:kama_head:0, Flint Kama Head
tconstruct:kama_head:0, Cactus Kama Head
tconstruct:kama_head:0, Bone Kama Head
tconstruct:kama_head:0, Obsidian Kama Head
tconstruct:kama_head:0, Prismarine Kama Head
tconstruct:kama_head:0, End Kama Head
tconstruct:kama_head:0, Paper Kama Head
tconstruct:kama_head:0, Sponge Kama Head
tconstruct:kama_head:0, Firewood Kama Head
tconstruct:kama_head:0, Iron Kama Head
tconstruct:kama_head:0, Pig Iron Kama Head
tconstruct:kama_head:0, Knightslime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Magma Slime Kama Head
tconstruct:kama_head:0, Netherrack Kama Head
tconstruct:kama_head:0, Cobalt Kama Head
tconstruct:kama_head:0, Ardite Kama Head
tconstruct:kama_head:0, Manyullyn Kama Head
tconstruct:kama_head:0, Copper Kama Head
tconstruct:kama_head:0, Bronze Kama Head
tconstruct:kama_head:0, Lead Kama Head
tconstruct:kama_head:0, Silver Kama Head
tconstruct:kama_head:0, Electrum Kama Head
tconstruct:kama_head:0, Steel Kama Head
tconstruct:kama_head:0, Abyssalnite Kama Head
tconstruct:kama_head:0, Refined Coralium Kama Head
tconstruct:kama_head:0, Dreadium Kama Head
tconstruct:kama_head:0, Magical Wooden Kama Head
tconstruct:kama_head:0, Evil Infused Kama Head
tconstruct:kama_head:0, Enchanted Kama Head
tconstruct:kama_head:0, Demonic Kama Head
tconstruct:kama_head:0, Baronyte Kama Head
tconstruct:kama_head:0, Blazium Kama Head
tconstruct:kama_head:0, Elecanium Kama Head
tconstruct:kama_head:0, Emberstone Kama Head
tconstruct:kama_head:0, Ghastly Kama Head
tconstruct:kama_head:0, Ghoulish Kama Head
tconstruct:kama_head:0, Limonite Kama Head
tconstruct:kama_head:0, Lunar Kama Head
tconstruct:kama_head:0, Lyon Kama Head
tconstruct:kama_head:0, Mystite Kama Head
tconstruct:kama_head:0, Rosite Kama Head
tconstruct:kama_head:0, Shyrestone Kama Head
tconstruct:kama_head:0, Skeletal Kama Head
tconstruct:kama_head:0, Varsium Kama Head
tconstruct:kama_head:0, Charger Kama Head
tconstruct:kama_head:0, Treated Wood Kama Head
tconstruct:kama_head:0, Shadowium Kama Head
tconstruct:kama_head:0, Orichalcos Kama Head
tconstruct:kama_head:0, Dilithium Kama Head
tconstruct:kama_head:0, Tritanium Kama Head
tconstruct:kama_head:0, Blood Infused Wooden Kama Head
tconstruct:kama_head:0, Blood Infused Iron Kama Head
tconstruct:kama_head:0, Blood Infused Glitch Kama Head
tconstruct:kama_head:0, Umbrium Kama Head
tconstruct:kama_head:0, Boron Kama Head
tconstruct:kama_head:0, Tough Alloy Kama Head
tconstruct:kama_head:0, Hard Carbon Kama Head
tconstruct:kama_head:0, Boron Nitride Kama Head
tconstruct:kama_head:0, Thorium Kama Head
tconstruct:kama_head:0, Uranium Kama Head
tconstruct:kama_head:0, Magnesium Kama Head
tconstruct:kama_head:0, Chocolate Kama Head
tconstruct:kama_head:0, Molten Meat Kama Head
tconstruct:kama_head:0, Vespa Carapace Kama Head
tconstruct:kama_head:0, Scythe Claw Kama Head
tconstruct:kama_head:0, Ectoplasm Kama Head
tconstruct:kama_head:0, Prosperity Shard Kama Head
tconstruct:kama_head:0, Soulium Kama Head
tconstruct:kama_head:0, Base Essence Kama Head
tconstruct:kama_head:0, Inferium Kama Head
tconstruct:kama_head:0, Prudentium Kama Head
tconstruct:kama_head:0, Intermedium Kama Head
tconstruct:kama_head:0, Superium Kama Head
tconstruct:kama_head:0, Supremium Kama Head
tconstruct:kama_head:0, Black Quartz Kama Head
tconstruct:kama_head:0, Restonia Crystal Kama Head
tconstruct:kama_head:0, Palis Crystal Kama Head
tconstruct:kama_head:0, Diamatine Crystal Kama Head
tconstruct:kama_head:0, Void Crystal Kama Head
tconstruct:kama_head:0, Emeradic Crystal Kama Head
tconstruct:kama_head:0, Enori Crystal Kama Head
tconstruct:kama_head:0, Sunnarium Kama Head
tconstruct:kama_head:0, Sky Stone Kama Head
tconstruct:kama_head:0, Certus Quartz Kama Head
tconstruct:kama_head:0, Fluix Kama Head
tconstruct:kama_head:0, Fluix Steel Kama Head
tconstruct:kama_head:0, Aquamarine Kama Head
tconstruct:kama_head:0, Starmetal Kama Head
tconstruct:kama_head:0, Crystal Matrix Kama Head
tconstruct:kama_head:0, Neutronium Kama Head
tconstruct:kama_head:0, Infinity Kama Head
tconstruct:kama_head:0, Bound Kama Head
tconstruct:kama_head:0, Sentient Kama Head
tconstruct:kama_head:0, Livingrock Kama Head
tconstruct:kama_head:0, Livingwood Kama Head
tconstruct:kama_head:0, Dreamwood Kama Head
tconstruct:kama_head:0, Manasteel Kama Head
tconstruct:kama_head:0, Terrasteel Kama Head
tconstruct:kama_head:0, Elementium Kama Head
tconstruct:kama_head:0, Draconium Kama Head
tconstruct:kama_head:0, Wyvern Kama Head
tconstruct:kama_head:0, Draconic Kama Head
tconstruct:kama_head:0, Chaotic Kama Head
tconstruct:kama_head:0, Litherite Kama Head
tconstruct:kama_head:0, Erodium Kama Head
tconstruct:kama_head:0, Kyronite Kama Head
tconstruct:kama_head:0, Pladium Kama Head
tconstruct:kama_head:0, Ionite Kama Head
tconstruct:kama_head:0, Aethium Kama Head
tconstruct:kama_head:0, Lonsdaleite Kama Head
tconstruct:kama_head:0, Mica Kama Head
tconstruct:kama_head:0, Apatite Kama Head
tconstruct:kama_head:0, Essence-Infused Kama Head
tconstruct:kama_head:0, Meaty Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Pink Metal Kama Head
tconstruct:kama_head:0, Rubber Kama Head
tconstruct:kama_head:0, Advanced Alloy Kama Head
tconstruct:kama_head:0, Energium Kama Head
tconstruct:kama_head:0, Carbon Fiber Kama Head
tconstruct:kama_head:0, Iridium Kama Head
tconstruct:kama_head:0, UU-Metal Kama Head
tconstruct:kama_head:0, Osmium Kama Head
tconstruct:kama_head:0, Refined Obsidian Kama Head
tconstruct:kama_head:0, Refined Glowstone Kama Head
tconstruct:kama_head:0, HDPE Kama Head
tconstruct:kama_head:0, Dark Matter Kama Head
tconstruct:kama_head:0, Red Matter Kama Head
tconstruct:kama_head:0, Fluxed Electrum Kama Head
tconstruct:kama_head:0, Flux Crystal Kama Head
tconstruct:kama_head:0, Gelid Enderium Kama Head
tconstruct:kama_head:0, Gelid Gem Kama Head
tconstruct:kama_head:0, Thaumium Kama Head
tconstruct:kama_head:0, Void Metal Kama Head
tconstruct:kama_head:0, Primal Metal Kama Head
tconstruct:kama_head:0, Amber Kama Head
tconstruct:kama_head:0, Tin Kama Head
tconstruct:kama_head:0, Aluminium Kama Head
tconstruct:kama_head:0, Nickel Kama Head
tconstruct:kama_head:0, Platinum Kama Head
tconstruct:kama_head:0, Invar Kama Head
tconstruct:kama_head:0, Constantan Kama Head
tconstruct:kama_head:0, Signalum Kama Head
tconstruct:kama_head:0, Lumium Kama Head
tconstruct:kama_head:0, Enderium Kama Head
tconstruct:kama_head:0, Alumite Kama Head
tconstruct:kama_head:0, Ascended Sapphire Kama Head
tconstruct:kama_head:0, Jade Kama Head
tconstruct:kama_head:0, Sapphire Kama Head
tconstruct:kama_head:0, Ruby Kama Head
tconstruct:kama_head:0, Peridot Kama Head
tconstruct:kama_head:0, Malachite Kama Head
tconstruct:kama_head:0, Topaz Kama Head
tconstruct:kama_head:0, Tanzanite Kama Head
tconstruct:kama_head:0, Amethyst Kama Head
tconstruct:kama_head:0, Osgloglas Kama Head
tconstruct:kama_head:0, Osmiridium Kama Head
tconstruct:kama_head:0, Psimetal Kama Head
tconstruct:kama_head:0, Psigem Kama Head
tconstruct:kama_head:0, Cheese Kama Head
tconstruct:kama_head:0, Plague Metal Kama Head
tconstruct:kama_head:0, Tiberium Kama Head
tconstruct:kama_head:0, Aurorium Kama Head
tconstruct:kama_head:0, Prometheum Kama Head
tconstruct:kama_head:0, Duranite Kama Head
tconstruct:kama_head:0, Valyrium Kama Head
tconstruct:kama_head:0, Terrax Kama Head
tconstruct:kama_head:0, Eezo Kama Head
tconstruct:kama_head:0, Basalt Kama Head
tconstruct:kama_head:0, Triberium Kama Head
tconstruct:kama_head:0, Fractum Kama Head
tconstruct:kama_head:0, Violium Kama Head
tconstruct:kama_head:0, Proxii Kama Head
tconstruct:kama_head:0, Tritonite Kama Head
tconstruct:kama_head:0, Ignitz Kama Head
tconstruct:kama_head:0, Imperomite Kama Head
tconstruct:kama_head:0, Solarium Kama Head
tconstruct:kama_head:0, Nihilite Kama Head
tconstruct:kama_head:0, Adamant Kama Head
tconstruct:kama_head:0, Dyonite Kama Head
tconstruct:kama_head:0, Nucleum Kama Head
tconstruct:kama_head:0, Lumix Kama Head
tconstruct:kama_head:0, Seismum Kama Head
tconstruct:kama_head:0, Astrium Kama Head
tconstruct:kama_head:0, Niob Kama Head
tconstruct:kama_head:0, Yrdeen Kama Head
tconstruct:kama_head:0, Meteorite Kama Head
tconstruct:kama_head:0, Obsidiorite Kama Head
tconstruct:kama_head:0, Crystalized Kama Head
tconstruct:kama_head:0, Mirion Kama Head
tconstruct:kama_head:0, Emerald Kama Head
tconstruct:scythe_head:0, Fusewood Scythe Head
tconstruct:scythe_head:0, Darkwood Scythe Head
tconstruct:scythe_head:0, Bloodwood Scythe Head
tconstruct:scythe_head:0, Ghostwood Scythe Head
tconstruct:scythe_head:0, Electrical Scythe Head
tconstruct:scythe_head:0, Energetic Scythe Head
tconstruct:scythe_head:0, Vibrant Scythe Head
tconstruct:scythe_head:0, Red Scythe Head
tconstruct:scythe_head:0, Conductive Scythe Head
tconstruct:scythe_head:0, Pulsating Scythe Head
tconstruct:scythe_head:0, Dark Scythe Head
tconstruct:scythe_head:0, Souled Scythe Head
tconstruct:scythe_head:0, Scythe Head of the End
tconstruct:scythe_head:0, Fake-Iron Scythe Head
tconstruct:scythe_head:0, Palladium Scythe Head
tconstruct:scythe_head:0, Titanium Scythe Head
tconstruct:scythe_head:0, Vibranium Scythe Head
tconstruct:scythe_head:0, Dwarf Star Alloy Scythe Head
tconstruct:scythe_head:0, Gold-Titanium-Alloy Scythe Head
tconstruct:scythe_head:0, Intertium Scythe Head
tconstruct:scythe_head:0, Adamantium Scythe Head
tconstruct:scythe_head:0, Uru Scythe Head
tconstruct:scythe_head:0, Wooden Scythe Head
tconstruct:scythe_head:0, Stone Scythe Head
tconstruct:scythe_head:0, Flint Scythe Head
tconstruct:scythe_head:0, Cactus Scythe Head
tconstruct:scythe_head:0, Bone Scythe Head
tconstruct:scythe_head:0, Obsidian Scythe Head
tconstruct:scythe_head:0, Prismarine Scythe Head
tconstruct:scythe_head:0, End Scythe Head
tconstruct:scythe_head:0, Paper Scythe Head
tconstruct:scythe_head:0, Sponge Scythe Head
tconstruct:scythe_head:0, Firewood Scythe Head
tconstruct:scythe_head:0, Iron Scythe Head
tconstruct:scythe_head:0, Pig Iron Scythe Head
tconstruct:scythe_head:0, Knightslime Scythe Head
